科目番号,科目名 ,単位数,春学期,秋学期
GE60601,知識形成論,2.0,-,-
GE61101,図書館建築論,2.0,-,-
GE62301,ソーシャルメディア分析,2.0,-,-
GE70123,知識情報システム実習B,1.0,-,-
GE70301,ディジタルドキュメント,2.0,-,-
GE71801,データ構造とアルゴリズム,2.0,-,-
GE73201,博物館情報学,2.0,-,-
GE60801,学術メディア論,2.0,-,-
GE70113,知識情報システム実習A,1.0,-,-
GE70401,ディジタルライブラリ,2.0,-,-
GE70501,情報検索システム,2.0,-,-
GE70601,Webプログラミング,2.0,-,-
GE70701,マルチメディアシステム,2.0,-,-
GE71001,情報デザインとインタフェース,2.0,-,-
GE72501,メディアアート,2.0,-,-
GE80501,情報サービス経営論,2.0,-,-
